,ID,SL.l,SL.w,PL.l,PL.w,variety,zeroes,Sq_PL.l
0,0,5,3.5,1.4,0.2,Setosa,0,1.9599999999999997
1,1,4,3.0,1.4,0.2,Setosa,0,1.9599999999999997
2,2,4,3.2,1.3,0.2,Setosa,0,1.6900000000000002
3,3,4,3.1,1.5,0.2,Setosa,0,2.25
4,4,5,3.6,1.4,0.2,Setosa,0,1.9599999999999997
5,5,5,3.9,1.7,0.4,Setosa,0,2.8899999999999997
6,6,4,3.4,1.4,0.3,Setosa,0,1.9599999999999997
7,7,5,3.4,1.5,0.2,Setosa,0,2.25
8,8,4,2.9,1.4,0.2,Setosa,0,1.9599999999999997
9,9,4,3.1,1.5,0.1,Setosa,0,2.25
10,10,5,3.7,1.5,0.2,Setosa,0,2.25
11,11,4,3.4,1.6,0.2,Setosa,0,2.5600000000000005
12,12,4,3.0,1.4,0.1,Setosa,0,1.9599999999999997
13,13,4,3.0,1.1,0.1,Setosa,0,1.2100000000000002
14,14,5,4.0,1.2,0.2,Setosa,0,1.44
15,15,5,4.4,1.5,0.4,Setosa,0,2.25
16,16,5,3.9,1.3,0.4,Setosa,0,1.6900000000000002
17,17,5,3.5,1.4,0.3,Setosa,0,1.9599999999999997
18,18,5,3.8,1.7,0.3,Setosa,0,2.8899999999999997
19,19,5,3.8,1.5,0.3,Setosa,0,2.25
20,20,5,3.4,1.7,0.2,Setosa,0,2.8899999999999997
21,21,5,3.7,1.5,0.4,Setosa,0,2.25
22,22,4,3.6,1.0,0.2,Setosa,0,1.0
23,23,5,3.3,1.7,0.5,Setosa,0,2.8899999999999997
24,24,4,3.4,1.9,0.2,Setosa,0,3.61
25,25,5,3.0,1.6,0.2,Setosa,0,2.5600000000000005
26,26,5,3.4,1.6,0.4,Setosa,0,2.5600000000000005
27,27,5,3.5,1.5,0.2,Setosa,0,2.25
28,28,5,3.4,1.4,0.2,Setosa,0,1.9599999999999997
29,29,4,3.2,1.6,0.2,Setosa,0,2.5600000000000005
30,30,4,3.1,1.6,0.2,Setosa,0,2.5600000000000005
31,31,5,3.4,1.5,0.4,Setosa,0,2.25
32,32,5,4.1,1.5,0.1,Setosa,0,2.25
33,33,5,4.2,1.4,0.2,Setosa,0,1.9599999999999997
34,34,4,3.1,1.5,0.2,Setosa,0,2.25
35,35,5,3.2,1.2,0.2,Setosa,0,1.44
36,36,5,3.5,1.3,0.2,Setosa,0,1.6900000000000002
37,37,4,3.6,1.4,0.1,Setosa,0,1.9599999999999997
38,38,4,3.0,1.3,0.2,Setosa,0,1.6900000000000002
39,39,5,3.4,1.5,0.2,Setosa,0,2.25
40,40,5,3.5,1.3,0.3,Setosa,0,1.6900000000000002
41,41,4,2.3,1.3,0.3,Setosa,0,1.6900000000000002
42,42,4,3.2,1.3,0.2,Setosa,0,1.6900000000000002
43,43,5,3.5,1.6,0.6,Setosa,0,2.5600000000000005
44,44,5,3.8,1.9,0.4,Setosa,0,3.61
45,45,4,3.0,1.4,0.3,Setosa,0,1.9599999999999997
46,46,5,3.8,1.6,0.2,Setosa,0,2.5600000000000005
47,47,4,3.2,1.4,0.2,Setosa,0,1.9599999999999997
48,48,5,3.7,1.5,0.2,Setosa,0,2.25
49,49,5,3.3,1.4,0.2,Setosa,0,1.9599999999999997
50,50,7,3.2,4.7,1.4,Versicolor,0,22.090000000000003
51,51,6,3.2,4.5,1.5,Versicolor,0,20.25
52,52,6,3.1,4.9,1.5,Versicolor,0,24.010000000000005
53,53,5,2.3,4.0,1.3,Versicolor,0,16.0
54,54,6,2.8,4.6,1.5,Versicolor,0,21.159999999999997
55,55,5,2.8,4.5,1.3,Versicolor,0,20.25
56,56,6,3.3,4.7,1.6,Versicolor,0,22.090000000000003
57,57,4,2.4,3.3,1.0,Versicolor,0,10.889999999999999
58,58,6,2.9,4.6,1.3,Versicolor,0,21.159999999999997
59,59,5,2.7,3.9,1.4,Versicolor,0,15.209999999999999
60,60,5,2.0,3.5,1.0,Versicolor,0,12.25
61,61,5,3.0,4.2,1.5,Versicolor,0,17.64
62,62,6,2.2,4.0,1.0,Versicolor,0,16.0
63,63,6,2.9,4.7,1.4,Versicolor,0,22.090000000000003
